complaint_id,date_received,product,consumer_complaint_narrative,company,state,submitted_via,company_response_to_consumer,timely_response,consumer_disputed,category
100020,2024-07-13,"Credit reporting, repair, or other",I paid off my debt but it still shows as outstanding on my credit report. I have tried to resolve this issue multiple times.,Wells Fargo,PA,Email,Closed with non-monetary relief,Yes,N/A,0
100021,2024-01-19,"Credit reporting, repair, or other",There are unauthorized accounts on my credit file. I never opened these accounts and need them removed.,Capital One,NC,Email,Closed with non-monetary relief,Yes,N/A,0
100022,2025-05-08,"Credit reporting, repair, or other",My credit score dropped significantly after incorrect information was reported by a creditor. This situation is causing me significant financial stress.,USAA,NC,Web,In progress,Yes,Yes,0
100023,2025-10-01,Mortgage,Mortgage servicer transferred my loan without proper notification. I need immediate assistance with this matter.,Bank of America,IL,Phone,Closed with non-monetary relief,Yes,Yes,3
100024,2024-03-19,"Credit reporting, repair, or other",I found errors on my credit report that are affecting my score. I disputed them but they haven't been corrected. I have tried to resolve this issue multiple times.,Bank of America,TX,Postal mail,Closed with explanation,Yes,N/A,0
100025,2023-12-15,Consumer Loan,Lender added hidden fees to my consumer loan that were not in the original agreement. I have tried to resolve this issue multiple times.,Synchrony Financial,NC,Referral,Closed with monetary relief,Yes,Yes,2
100026,2024-04-16,"Credit reporting, repair, or other",I paid off my debt but it still shows as outstanding on my credit report. I have tried to resolve this issue multiple times.,Citibank,PA,Postal mail,Closed with monetary relief,Yes,N/A,0
100027,2024-07-15,Debt collection,Debt collector sued me without proper documentation or proof of the alleged debt. The company has not responded to my previous complaints.,Bank of America,NY,Referral,Closed with explanation,Yes,Yes,1
100028,2024-02-26,"Credit reporting, repair, or other",Identity theft has resulted in fraudulent accounts appearing on my credit report. This has been ongoing for several months.,USAA,NY,Email,Closed with non-monetary relief,Yes,N/A,0
100029,2023-10-27,Debt collection,Debt collector is calling me multiple times a day despite my request to stop contact. This has been ongoing for several months.,Wells Fargo,NY,Web,Closed with explanation,Yes,No,1
100030,2024-05-12,"Credit reporting, repair, or other",Identity theft has resulted in fraudulent accounts appearing on my credit report. This has been ongoing for several months.,Citibank,PA,Postal mail,Closed with non-monetary relief,Yes,N/A,0
100031,2024-03-15,Debt collection,Debt collector contacted my employer and family members about my personal debt. I have documentation to support my claim.,Navy Federal,GA,Referral,Closed,Yes,No,1
100032,2025-07-16,Debt collection,Received aggressive and abusive calls from debt collector using threatening language. I have tried to resolve this issue multiple times.,Bank of America,OH,Phone,Closed,Yes,Yes,1
100033,2025-08-26,"Credit reporting, repair, or other",I paid off my debt but it still shows as outstanding on my credit report. I need immediate assistance with this matter.,Bank of America,CA,Postal mail,Closed with monetary relief,Yes,N/A,0
100034,2025-04-07,"Credit reporting, repair, or other",There are unauthorized accounts on my credit file. I never opened these accounts and need them removed. I have tried to resolve this issue multiple times.,Citibank,NC,Postal mail,Closed with non-monetary relief,Yes,N/A,0
100035,2025-01-08,"Credit reporting, repair, or other",I paid off my debt but it still shows as outstanding on my credit report. I have tried to resolve this issue multiple times.,Synchrony Financial,NY,Web,Closed,Yes,N/A,0
100036,2023-12-23,"Credit reporting, repair, or other",There are unauthorized accounts on my credit file. I never opened these accounts and need them removed. This has been ongoing for several months.,USAA,CA,Web,Closed with non-monetary relief,Yes,No,0
100037,2024-06-10,"Credit reporting, repair, or other",My credit score dropped significantly after incorrect information was reported by a creditor. I need immediate assistance with this matter.,Synchrony Financial,NY,Postal mail,Closed with explanation,Yes,N/A,0
100038,2025-10-18,Debt collection,Debt collector contacted my employer and family members about my personal debt. I need immediate assistance with this matter.,American Express,PA,Postal mail,Closed with monetary relief,Yes,N/A,1
100039,2024-03-30,"Credit reporting, repair, or other",I paid off my debt but it still shows as outstanding on my credit report. I have documentation to support my claim.,Synchrony Financial,FL,Referral,Closed with monetary relief,Yes,N/A,0
100040,2024-03-06,Consumer Loan,I am having difficulty getting my loan servicer to process my payment correctly. This has been ongoing for several months.,USAA,CA,Phone,Closed with explanation,Yes,No,2
100041,2024-06-19,"Credit reporting, repair, or other",I found errors on my credit report that are affecting my score. I disputed them but they haven't been corrected. The company has not responded to my previous complaints.,USAA,NC,Referral,Closed with explanation,Yes,No,0
100042,2025-04-13,Consumer Loan,My auto loan has excessive interest rates that were not properly disclosed at signing.,Bank of America,MI,Web,Closed with non-monetary relief,Yes,Yes,2
100043,2024-03-16,Debt collection,Received aggressive and abusive calls from debt collector using threatening language. This has been ongoing for several months.,Citibank,MI,Email,Closed with explanation,Yes,No,1
100044,2023-12-17,"Credit reporting, repair, or other",There are unauthorized accounts on my credit file. I never opened these accounts and need them removed. I need immediate assistance with this matter.,Navy Federal,MI,Email,Closed with monetary relief,Yes,N/A,0
100045,2023-12-05,"Credit reporting, repair, or other",Credit bureau is not responding to my dispute letters regarding incorrect negative items. I have tried to resolve this issue multiple times.,Discover,NY,Phone,Closed,Yes,N/A,0
100046,2023-12-30,"Credit reporting, repair, or other",My credit score dropped significantly after incorrect information was reported by a creditor. I have documentation to support my claim.,Capital One,GA,Phone,Closed with explanation,No,N/A,0
100047,2024-01-23,"Credit reporting, repair, or other",I found errors on my credit report that are affecting my score. I disputed them but they haven't been corrected. I need immediate assistance with this matter.,Navy Federal,TX,Web,In progress,Yes,No,0
100048,2025-01-22,"Credit reporting, repair, or other",I requested a credit report but found multiple inaccuracies that need to be investigated. The company has not responded to my previous complaints.,Chase,IL,Web,Closed with non-monetary relief,Yes,N/A,0
100049,2025-05-12,Debt collection,I requested validation of debt but the collector continued collection activities. This situation is causing me significant financial stress.,Synchrony Financial,NC,Phone,In progress,Yes,No,1
100050,2024-04-01,Mortgage,My mortgage servicer lost my payment and now claims I am in default. I have documentation to support my claim.,Capital One,TX,Referral,Closed with monetary relief,Yes,Yes,3
100051,2024-04-02,Debt collection,I received threatening calls from a collection agency about a debt I don't recognize. This has been ongoing for several months.,Chase,PA,Phone,In progress,No,No,1
100052,2024-11-03,Consumer Loan,I am having difficulty getting my loan servicer to process my payment correctly. I have documentation to support my claim.,Citibank,PA,Email,Closed,Yes,No,2
100053,2025-08-29,Consumer Loan,The loan terms changed after I signed the agreement without my consent.,Bank of America,OH,Phone,Closed with explanation,Yes,N/A,2
100054,2025-06-09,Debt collection,Debt collector is calling me multiple times a day despite my request to stop contact. This situation is causing me significant financial stress.,Capital One,FL,Postal mail,In progress,Yes,Yes,1
100055,2025-10-11,Consumer Loan,My loan servicer is not responding to my requests for payment history and account information. The company has not responded to my previous complaints.,Bank of America,TX,Referral,In progress,Yes,Yes,2
100056,2024-10-07,"Credit reporting, repair, or other",I found errors on my credit report that are affecting my score. I disputed them but they haven't been corrected.,Navy Federal,NC,Referral,Closed,Yes,N/A,0
100057,2024-12-09,"Credit reporting, repair, or other",My credit score dropped significantly after incorrect information was reported by a creditor. This has been ongoing for several months.,Discover,CA,Phone,Closed with non-monetary relief,Yes,No,0
100058,2025-07-07,Debt collection,I am being harassed by debt collectors calling outside of permitted hours. I have documentation to support my claim.,Discover,NC,Postal mail,In progress,Yes,N/A,1
100059,2025-05-07,"Credit reporting, repair, or other",My credit score dropped significantly after incorrect information was reported by a creditor. I have tried to resolve this issue multiple times.,Chase,OH,Web,Closed with non-monetary relief,Yes,Yes,0
100060,2024-08-25,"Credit reporting, repair, or other",Identity theft has resulted in fraudulent accounts appearing on my credit report.,Citibank,PA,Referral,Closed with explanation,Yes,N/A,0
100061,2025-09-11,Mortgage,I am underwater on my mortgage and need assistance but lender won't work with me.,Synchrony Financial,NY,Referral,Closed,Yes,N/A,3
100062,2025-03-01,Consumer Loan,I was charged prepayment penalties that were not disclosed in my loan documents. This situation is causing me significant financial stress.,Citibank,CA,Referral,Closed,Yes,N/A,2
100063,2025-08-10,"Credit reporting, repair, or other",Identity theft has resulted in fraudulent accounts appearing on my credit report. This situation is causing me significant financial stress.,Capital One,IL,Email,Closed,Yes,N/A,0
100064,2025-06-24,Mortgage,Mortgage servicer transferred my loan without proper notification. This has been ongoing for several months.,Capital One,FL,Email,Closed with monetary relief,Yes,No,3
100065,2024-02-18,"Credit reporting, repair, or other",I found errors on my credit report that are affecting my score. I disputed them but they haven't been corrected. This has been ongoing for several months.,American Express,IL,Phone,Closed,Yes,N/A,0
100066,2024-03-09,Mortgage,I applied for a loan modification but received no response for over six months. I need immediate assistance with this matter.,Citibank,PA,Web,Closed,Yes,N/A,3
100067,2024-04-17,"Credit reporting, repair, or other",I found errors on my credit report that are affecting my score. I disputed them but they haven't been corrected. The company has not responded to my previous complaints.,Citibank,IL,Postal mail,Closed with explanation,Yes,N/A,0
100068,2024-12-03,Debt collection,I requested validation of debt but the collector continued collection activities. The company has not responded to my previous complaints.,Bank of America,PA,Email,Closed with monetary relief,Yes,Yes,1
100069,2024-09-03,Consumer Loan,My loan servicer is not responding to my requests for payment history and account information. This situation is causing me significant financial stress.,Capital One,NC,Referral,Closed with non-monetary relief,Yes,Yes,2
100070,2024-09-27,Debt collection,Received aggressive and abusive calls from debt collector using threatening language. I have documentation to support my claim.,Chase,MI,Email,Closed with monetary relief,Yes,N/A,1
100071,2025-10-20,"Credit reporting, repair, or other",I paid off my debt but it still shows as outstanding on my credit report. The company has not responded to my previous complaints.,Capital One,PA,Referral,Closed,Yes,No,0
100072,2024-07-25,"Credit reporting, repair, or other",Identity theft has resulted in fraudulent accounts appearing on my credit report. I need immediate assistance with this matter.,Synchrony Financial,NY,Email,Closed,Yes,N/A,0
100073,2025-07-26,Consumer Loan,Lender added hidden fees to my consumer loan that were not in the original agreement. I have documentation to support my claim.,Capital One,NC,Email,Closed with monetary relief,Yes,N/A,2
100074,2025-02-22,"Credit reporting, repair, or other",There are unauthorized accounts on my credit file. I never opened these accounts and need them removed.,Capital One,NY,Referral,Closed with non-monetary relief,Yes,No,0
100075,2025-02-12,"Credit reporting, repair, or other",I found errors on my credit report that are affecting my score. I disputed them but they haven't been corrected. This has been ongoing for several months.,Synchrony Financial,MI,Web,Closed,No,No,0
100076,2024-03-10,Mortgage,I am underwater on my mortgage and need assistance but lender won't work with me. I have documentation to support my claim.,Citibank,OH,Postal mail,Closed,Yes,N/A,3
100077,2023-12-19,Debt collection,I am being harassed by debt collectors calling outside of permitted hours. I have tried to resolve this issue multiple times.,Wells Fargo,TX,Postal mail,Closed with non-monetary relief,Yes,No,1
100078,2023-11-08,"Credit reporting, repair, or other",My credit score dropped significantly after incorrect information was reported by a creditor.,USAA,GA,Web,In progress,Yes,No,0
100079,2025-06-18,"Credit reporting, repair, or other",I requested a credit report but found multiple inaccuracies that need to be investigated.,Synchrony Financial,FL,Postal mail,In progress,Yes,Yes,0
100080,2024-07-24,Mortgage,Mortgage servicer transferred my loan without proper notification.,Navy Federal,NC,Postal mail,In progress,No,N/A,3
100081,2024-06-21,"Credit reporting, repair, or other",Credit reporting agency failed to update my account status after I resolved the issue. I have tried to resolve this issue multiple times.,Synchrony Financial,PA,Referral,Closed with monetary relief,Yes,N/A,0
100082,2025-02-18,Debt collection,Debt collector sued me without proper documentation or proof of the alleged debt. I have documentation to support my claim.,Capital One,GA,Web,Closed with monetary relief,No,N/A,1
100083,2024-11-11,Mortgage,My mortgage company is charging excessive and unexplained fees on my account. This situation is causing me significant financial stress.,Discover,NC,Web,Closed with non-monetary relief,Yes,No,3
100084,2024-09-23,Mortgage,Foreclosure proceedings started despite making all required payments on time. I have tried to resolve this issue multiple times.,Chase,NY,Web,Closed,Yes,Yes,3
100085,2024-04-13,Debt collection,Received aggressive and abusive calls from debt collector using threatening language. This situation is causing me significant financial stress.,Synchrony Financial,OH,Web,Closed with non-monetary relief,Yes,N/A,1
100086,2024-03-01,Debt collection,Received aggressive and abusive calls from debt collector using threatening language. I need immediate assistance with this matter.,Wells Fargo,MI,Postal mail,Closed,Yes,N/A,1
100087,2024-12-19,Mortgage,My mortgage servicer lost my payment and now claims I am in default. This situation is causing me significant financial stress.,American Express,OH,Email,In progress,Yes,N/A,3
100088,2025-03-10,Mortgage,My mortgage company is charging excessive and unexplained fees on my account. I need immediate assistance with this matter.,Capital One,OH,Postal mail,Closed with explanation,Yes,N/A,3
100089,2023-12-06,Consumer Loan,My loan servicer is not responding to my requests for payment history and account information. This situation is causing me significant financial stress.,American Express,FL,Postal mail,Closed with non-monetary relief,Yes,No,2
100090,2024-02-22,Consumer Loan,I applied for a personal loan but was denied without proper explanation of the reasons. I need immediate assistance with this matter.,Navy Federal,CA,Web,Closed,Yes,N/A,2
100091,2024-07-05,Mortgage,Foreclosure proceedings started despite making all required payments on time.,Chase,CA,Phone,Closed,Yes,N/A,3
100092,2024-07-12,Consumer Loan,I was charged prepayment penalties that were not disclosed in my loan documents. I have tried to resolve this issue multiple times.,Discover,IL,Postal mail,Closed with monetary relief,Yes,N/A,2
100093,2025-07-29,Consumer Loan,My loan servicer is not responding to my requests for payment history and account information. This situation is causing me significant financial stress.,Synchrony Financial,CA,Email,Closed with explanation,Yes,No,2
100094,2023-12-25,"Credit reporting, repair, or other",Identity theft has resulted in fraudulent accounts appearing on my credit report. I have tried to resolve this issue multiple times.,Bank of America,CA,Web,Closed with non-monetary relief,Yes,N/A,0
100095,2025-09-30,"Credit reporting, repair, or other",I requested a credit report but found multiple inaccuracies that need to be investigated.,Navy Federal,FL,Referral,Closed with non-monetary relief,Yes,N/A,0
100096,2025-06-25,"Credit reporting, repair, or other",Credit reporting agency failed to update my account status after I resolved the issue. I have documentation to support my claim.,Navy Federal,NY,Postal mail,Closed with monetary relief,Yes,Yes,0
100097,2024-02-08,"Credit reporting, repair, or other",Identity theft has resulted in fraudulent accounts appearing on my credit report. I have tried to resolve this issue multiple times.,Navy Federal,TX,Referral,Closed with monetary relief,Yes,No,0
100098,2025-09-24,"Credit reporting, repair, or other",There are unauthorized accounts on my credit file. I never opened these accounts and need them removed. The company has not responded to my previous complaints.,Capital One,MI,Postal mail,Closed,Yes,N/A,0
100099,2024-02-22,"Credit reporting, repair, or other",I requested a credit report but found multiple inaccuracies that need to be investigated. This has been ongoing for several months.,Citibank,TX,Phone,In progress,Yes,Yes,0
100100,2024-03-20,"Credit reporting, repair, or other",There are unauthorized accounts on my credit file. I never opened these accounts and need them removed.,Wells Fargo,IL,Email,Closed,Yes,N/A,0
100101,2024-05-20,Debt collection,I requested validation of debt but the collector continued collection activities. This has been ongoing for several months.,Discover,CA,Postal mail,Closed,Yes,N/A,1
100102,2024-10-15,Debt collection,I received threatening calls from a collection agency about a debt I don't recognize. I need immediate assistance with this matter.,Synchrony Financial,FL,Postal mail,Closed with non-monetary relief,Yes,N/A,1
100103,2024-04-17,"Credit reporting, repair, or other",Credit bureau is not responding to my dispute letters regarding incorrect negative items. The company has not responded to my previous complaints.,Synchrony Financial,GA,Postal mail,In progress,Yes,Yes,0
100104,2025-02-11,"Credit reporting, repair, or other",Credit bureau is not responding to my dispute letters regarding incorrect negative items. This situation is causing me significant financial stress.,Bank of America,PA,Postal mail,Closed with non-monetary relief,No,N/A,0
100105,2024-02-04,Consumer Loan,I refinanced my loan but the old servicer continues to report negative information. The company has not responded to my previous complaints.,American Express,IL,Web,Closed,Yes,Yes,2
100106,2024-06-08,"Credit reporting, repair, or other",Identity theft has resulted in fraudulent accounts appearing on my credit report. I have tried to resolve this issue multiple times.,Citibank,IL,Phone,Closed with monetary relief,Yes,N/A,0
100107,2023-11-02,Consumer Loan,The loan terms changed after I signed the agreement without my consent. The company has not responded to my previous complaints.,Capital One,NC,Web,In progress,Yes,No,2
100108,2025-02-15,Mortgage,My mortgage company is charging excessive and unexplained fees on my account. This has been ongoing for several months.,American Express,GA,Email,Closed with non-monetary relief,Yes,N/A,3
100109,2023-10-23,Debt collection,Debt collector sued me without proper documentation or proof of the alleged debt. I have documentation to support my claim.,Synchrony Financial,GA,Web,Closed with explanation,Yes,No,1
100110,2024-09-01,"Credit reporting, repair, or other",Credit bureau is not responding to my dispute letters regarding incorrect negative items. I have tried to resolve this issue multiple times.,Citibank,PA,Email,Closed with monetary relief,Yes,Yes,0
100111,2024-04-25,"Credit reporting, repair, or other",Credit reporting agency failed to update my account status after I resolved the issue. The company has not responded to my previous complaints.,Discover,OH,Email,Closed with monetary relief,Yes,Yes,0
100112,2024-07-13,Mortgage,Mortgage servicer transferred my loan without proper notification. I have documentation to support my claim.,Capital One,PA,Phone,Closed with non-monetary relief,Yes,No,3
100113,2025-04-06,"Credit reporting, repair, or other",There are unauthorized accounts on my credit file. I never opened these accounts and need them removed. I have documentation to support my claim.,Discover,TX,Email,Closed with non-monetary relief,Yes,No,0
100114,2024-06-12,"Credit reporting, repair, or other",I requested a credit report but found multiple inaccuracies that need to be investigated. I have tried to resolve this issue multiple times.,Capital One,MI,Email,In progress,Yes,No,0
100115,2025-04-05,Debt collection,Collection agency is attempting to collect on a debt that is past the statute of limitations. This has been ongoing for several months.,Capital One,NY,Phone,Closed with non-monetary relief,Yes,Yes,1
100116,2023-10-26,"Credit reporting, repair, or other",Credit bureau is not responding to my dispute letters regarding incorrect negative items. This has been ongoing for several months.,USAA,FL,Phone,Closed with explanation,Yes,N/A,0
100117,2024-12-25,Mortgage,My mortgage servicer lost my payment and now claims I am in default. The company has not responded to my previous complaints.,Chase,GA,Web,Closed with explanation,Yes,Yes,3
100118,2024-06-17,"Credit reporting, repair, or other",Credit bureau is not responding to my dispute letters regarding incorrect negative items. I need immediate assistance with this matter.,Synchrony Financial,IL,Referral,Closed with explanation,Yes,Yes,0
100119,2024-06-18,Debt collection,Collection agency is attempting to collect on a debt that is past the statute of limitations.,Bank of America,TX,Postal mail,Closed,Yes,N/A,1
100120,2024-01-15,"Credit reporting, repair, or other",There are unauthorized accounts on my credit file. I never opened these accounts and need them removed. The company has not responded to my previous complaints.,Wells Fargo,FL,Referral,In progress,Yes,No,0
100121,2025-02-08,Debt collection,Collection agency is attempting to collect on a debt that is past the statute of limitations. This has been ongoing for several months.,Bank of America,NC,Postal mail,In progress,Yes,No,1
100122,2024-05-03,Mortgage,My mortgage company is charging excessive and unexplained fees on my account.,American Express,GA,Postal mail,Closed with monetary relief,Yes,Yes,3
100123,2024-03-17,"Credit reporting, repair, or other",I paid off my debt but it still shows as outstanding on my credit report. This situation is causing me significant financial stress.,Navy Federal,CA,Email,Closed with explanation,Yes,Yes,0
100124,2025-03-18,"Credit reporting, repair, or other",I requested a credit report but found multiple inaccuracies that need to be investigated. I have documentation to support my claim.,Capital One,TX,Referral,Closed with non-monetary relief,Yes,Yes,0
100125,2025-08-05,"Credit reporting, repair, or other",My credit score dropped significantly after incorrect information was reported by a creditor. The company has not responded to my previous complaints.,Chase,CA,Postal mail,Closed,Yes,Yes,0
100126,2025-09-17,Consumer Loan,I refinanced my loan but the old servicer continues to report negative information. This situation is causing me significant financial stress.,Citibank,PA,Phone,Closed,Yes,Yes,2
100127,2025-02-23,Consumer Loan,My auto loan has excessive interest rates that were not properly disclosed at signing. I have documentation to support my claim.,Capital One,MI,Referral,Closed,Yes,N/A,2
100128,2025-03-04,Consumer Loan,My auto loan has excessive interest rates that were not properly disclosed at signing. The company has not responded to my previous complaints.,Chase,PA,Referral,Closed with explanation,Yes,No,2
100129,2024-12-10,"Credit reporting, repair, or other",I found errors on my credit report that are affecting my score. I disputed them but they haven't been corrected. I have tried to resolve this issue multiple times.,Navy Federal,MI,Phone,Closed,Yes,N/A,0
100130,2023-11-15,Mortgage,I applied for a loan modification but received no response for over six months. I need immediate assistance with this matter.,Capital One,OH,Phone,In progress,Yes,No,3
100131,2025-07-30,Consumer Loan,I refinanced my loan but the old servicer continues to report negative information. I need immediate assistance with this matter.,Navy Federal,CA,Postal mail,Closed with monetary relief,Yes,N/A,2
100132,2025-07-19,Mortgage,I requested information about my escrow account but received no response. This has been ongoing for several months.,Citibank,MI,Email,Closed with explanation,Yes,N/A,3
100133,2025-09-09,Consumer Loan,The loan terms changed after I signed the agreement without my consent. The company has not responded to my previous complaints.,Chase,GA,Email,Closed,Yes,N/A,2
100134,2024-02-29,Debt collection,Collection agency is attempting to collect on a debt that is past the statute of limitations. I have tried to resolve this issue multiple times.,American Express,GA,Web,Closed,Yes,No,1
100135,2024-11-13,Mortgage,Mortgage servicer transferred my loan without proper notification. I need immediate assistance with this matter.,Discover,TX,Referral,Closed with monetary relief,Yes,Yes,3
100136,2024-05-31,Mortgage,I am underwater on my mortgage and need assistance but lender won't work with me. I have documentation to support my claim.,Capital One,OH,Email,Closed with explanation,Yes,No,3
100137,2024-12-02,Mortgage,My home appraisal came in lower than expected affecting my refinancing options. This has been ongoing for several months.,Capital One,IL,Web,Closed,No,N/A,3
100138,2024-04-13,Debt collection,Debt collector is calling me multiple times a day despite my request to stop contact. I have documentation to support my claim.,Synchrony Financial,OH,Web,Closed with non-monetary relief,Yes,No,1
100139,2024-05-28,"Credit reporting, repair, or other",Identity theft has resulted in fraudulent accounts appearing on my credit report. The company has not responded to my previous complaints.,Synchrony Financial,CA,Referral,Closed with monetary relief,Yes,N/A,0
100140,2024-07-29,Consumer Loan,Lender added hidden fees to my consumer loan that were not in the original agreement. This situation is causing me significant financial stress.,Synchrony Financial,TX,Web,In progress,Yes,Yes,2
100141,2025-05-11,Debt collection,I am being harassed by debt collectors calling outside of permitted hours. I have documentation to support my claim.,Capital One,NC,Web,In progress,Yes,N/A,1
100142,2025-03-04,Debt collection,Received aggressive and abusive calls from debt collector using threatening language. This has been ongoing for several months.,Bank of America,GA,Web,Closed with non-monetary relief,Yes,No,1
100143,2024-12-26,"Credit reporting, repair, or other",Credit reporting agency failed to update my account status after I resolved the issue. I have documentation to support my claim.,USAA,PA,Postal mail,Closed,Yes,N/A,0
100144,2024-07-10,Debt collection,Debt collector sued me without proper documentation or proof of the alleged debt. I have tried to resolve this issue multiple times.,USAA,FL,Postal mail,Closed with non-monetary relief,Yes,Yes,1
100145,2025-08-10,Consumer Loan,Lender added hidden fees to my consumer loan that were not in the original agreement.,Capital One,OH,Phone,In progress,Yes,N/A,2
100146,2025-10-18,Consumer Loan,The loan terms changed after I signed the agreement without my consent.,Capital One,PA,Email,In progress,Yes,Yes,2
100147,2025-05-21,Mortgage,My home appraisal came in lower than expected affecting my refinancing options.,Synchrony Financial,NC,Postal mail,Closed with monetary relief,Yes,No,3
100148,2024-04-12,Consumer Loan,I was charged prepayment penalties that were not disclosed in my loan documents. The company has not responded to my previous complaints.,American Express,GA,Phone,Closed with non-monetary relief,Yes,N/A,2
100149,2024-09-23,Consumer Loan,I am having difficulty getting my loan servicer to process my payment correctly. The company has not responded to my previous complaints.,Citibank,OH,Web,Closed with monetary relief,Yes,Yes,2
100150,2024-09-25,Consumer Loan,I refinanced my loan but the old servicer continues to report negative information. I have documentation to support my claim.,American Express,FL,Postal mail,Closed with explanation,Yes,No,2
100151,2024-02-24,Mortgage,Foreclosure proceedings started despite making all required payments on time. The company has not responded to my previous complaints.,Discover,TX,Postal mail,Closed with explanation,Yes,No,3
100152,2025-05-26,"Credit reporting, repair, or other",Credit reporting agency failed to update my account status after I resolved the issue. This has been ongoing for several months.,American Express,FL,Web,Closed,Yes,Yes,0
100153,2024-01-21,"Credit reporting, repair, or other",Credit bureau is not responding to my dispute letters regarding incorrect negative items. This situation is causing me significant financial stress.,American Express,TX,Phone,In progress,Yes,N/A,0
100154,2024-01-18,Consumer Loan,My loan servicer is not responding to my requests for payment history and account information. This situation is causing me significant financial stress.,Synchrony Financial,NC,Web,In progress,Yes,N/A,2
100155,2024-01-13,"Credit reporting, repair, or other",There are unauthorized accounts on my credit file. I never opened these accounts and need them removed. I have tried to resolve this issue multiple times.,Capital One,NY,Web,Closed,Yes,N/A,0
100156,2024-01-11,"Credit reporting, repair, or other",There are unauthorized accounts on my credit file. I never opened these accounts and need them removed.,Bank of America,GA,Referral,Closed with monetary relief,No,Yes,0
100157,2024-11-22,Mortgage,My mortgage servicer lost my payment and now claims I am in default. This has been ongoing for several months.,Wells Fargo,PA,Phone,Closed with monetary relief,Yes,N/A,3
100158,2025-02-12,Debt collection,Received aggressive and abusive calls from debt collector using threatening language. I have tried to resolve this issue multiple times.,USAA,OH,Email,Closed with non-monetary relief,No,Yes,1
